Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
713;01/04/2014;26/06/2014;SP-1703;ERKINDB;30%;21
714;01/04/2014;26/06/2014;CB-3114;MFG24;30%;21
715;01/04/2014;26/06/2014;MM-1065;MFG24;30%;21
716;01/04/2014;26/06/2014;AB-2664;TB10TS;30%;193
717;01/04/2014;26/06/2014;GP-1787;TB10TS;30%;240
718;01/04/2014;26/06/2014;AB-1440;PCA72;30%;21
719;01/04/2014;26/06/2014;LF-2734;NBI3;30%;57
720;01/04/2014;26/06/2014;AA-2209;TBFR86;30%;21
721;01/04/2014;26/06/2014;SL-1814;MLELCD;30%;43
722;01/04/2014;26/06/2014;FB-1107;PCA72;15%;31
723;01/04/2014;26/06/2014;AB-1440;LPT21;0%;154
724;01/04/2014;27/06/2014;MM-1065;TBFR86;0%;223
725;01/04/2014;27/06/2014;MG-2775;TBFR86;20%;117
726;01/04/2014;27/06/2014;AB-2639;PHBTV10;30%;98
727;01/04/2014;28/06/2014;AR-2734;TB10TS;0%;142
728;01/04/2014;28/06/2014;SL-1814;PHBTV15;10%;53
729;01/04/2014;29/06/2014;FB-1107;PHBTV10;15%;117
730;01/04/2014;29/06/2014;AB-1440;TB10TS;15%;57
731;01/04/2014;29/06/2014;MM-1065;PHBTV15;15%;193
732;01/04/2014;29/06/2014;MC-2839;MSL24;15%;57
733;01/04/2014;30/06/2014;FC-2630;PHBTV10;30%;136
734;01/04/2014;30/06/2014;MM-1065;MLELCD;15%;196
735;01/04/2014;30/06/2014;ML-1518;MSL24;15%;52
736;01/04/2014;30/06/2014;AM-2515;TBFR86;30%;136
737;01/04/2014;30/06/2014;AR-3799;MFG24;0%;134
738;01/04/2014;30/06/2014;LF-2734;PCA72;15%;61
